Q100	city in and state capital of Massachusetts, United States
Q104020	municipality of the Philippines in the province of Quezon
Q1040240	Film director and screenwriter
Q104027	American stage and film actor
Q104036	city in Latvia
Q104046	Italian comune
Q1040470	1938 film by Frank Borzage
Q104049	American-born Bahamian actor, film director, author, and diplomat
Q10405	district in Bavaria, Germany
Q104050	Italian comune
Q104057	Italian comune
Q104061	American actor, director and writer
Q104064	Italian comune
Q104067	American film, television and stage actor (1915-2014)
Q104069	Italian comune
Q10407	Spanish football club
Q1040703	railway line of Tobu Railway in Japan
Q104074	Italian comune
Q1040783	American actor (1927-1959)
Q10408	district in Bavaria, Germany
Q104081	American film actor (1920-2014)
Q104090	Italian comune
Q104095	municipality in Møre og Romsdal, Norway
Q104096	Italian comune
Q1041	sovereign state in Western Africa
Q10410	district in Bavaria, Germany
Q104102	Italian comune
Q104109	Canadian-American actress
Q1041196	subway station on the Yonge–University–Spadina line of the Toronto, Ontario, Canada subway
Q10412	district in Bavaria, Germany
Q104123	1994 American crime film directed by Quentin Tarantino
Q104127	American actor, screenwriter, director, and producer (1883-1939)
Q104137	1992 American Western film directed by Clint Eastwood
Q10414	district in Bavaria, Germany
Q104146	Scottish film and television actress (1921-2007)
Q104148	ruský šachista
Q10415	district in Bavaria, Germany
Q10417	district in Bavaria, Germany
Q10418	district in Bavaria, Germany
Q104183	American actress
Q1041834	1954 film by Lewis Allen
Q10419	district of Bavaria, Germany
Q1041910	commune in Gers, France
Q104192	municipality in Brandenburg, Germany
Q1041932	commune in Gers, France
Q1041958	commune in Gers, France
Q1042	island sovereign state off the eastern coast of Africa
Q10420	district of Bavaria, Germany
Q1042008	ward of Japan
Q1042010	Italian politician. (1935-2020)
Q104202	German philologist
Q1042061	Canadian ice hockey defenceman
Q10421	district of Bavaria, Germany
Q10423	district of Bavaria, Germany
Q104231	county (län) In Sweden
Q1042350	cycling race
Q10424	district of Bavaria, Germany
Q1042435	Italian basketball coach and player
Q104257	county (län) In Sweden
Q104266	American director, writer, actor, and producer
Q10427	district of Bavaria, Germany
Q1042892	British painter (1741-1806)
Q10429	District of Bavaria, Germany
Q104301	German folklorist and linguist (1823-1901)
Q104302	City with powiat rights of Silesian Voivodeship, Poland
Q10431	district in Bavaria, Germany
Q1043188	railway station in Takarazuka, Hyogo prefecture, Japan
Q10432	district of Bavaria, Germany
Q10433111	football player and manager (1969-2011)
Q1043318	Spanish painter from Belgium (1826-1898)
Q10434	district in Bavaria, Germany
Q104340	American film actor and producer (1893-1971)
Q10436	district in Bavaria, Germany
Q1043659	1954 film by Otto Preminger
Q104372	American actress, singer, and animal rights activist (1922-2019)
Q1043732	railway station in Sakai, Osaka prefecture, Japan
Q104379	municipality in Troms og Finnmark, Norway
Q1043830	district in Kagoshima prefecture, Japan
Q10439	district in Bavaria, Germany
Q1044	sovereign state in West Africa
Q10440	district in Bavaria, Germany
Q104400	municipality in Innlandet, Norway
Q1044037	Cruise ship
Q1044042	Cruise ship
Q1044048	Cruise ship
Q1044050	Cruise ship
Q1044053	Cruise ship
Q1044059	British–American-Panamanian global cruise company
Q1044060	Cruise ship
Q1044066	Cruise ship
Q1044070	ship
Q1044074	cruise ship
Q1044080	Cruise ship
Q1044084	Cruise ship
Q1044086	Cruise ship
Q1044097	route nationale
Q1044183	American film editor
Q10442	district in Bavaria, Germany
Q1044291	defunct independent film production company
Q104431	commune in Alpes-de-Haute-Provence, France
Q1044367	Italian footballer (1935-2014)
Q104437	river in the Yukon territory of Canada
Q10444	district in Bavaria, Germany
Q10445	district in Bavaria, Germany
Q1044523	1999 American comedy film written and directed by Mike Judge
Q104454	German footballer
Q1044635	American sitcom (1964-1972)
Q1044651	association football club
Q10447	district in Bavaria, Germany
Q10449	district in Bavaria, Germany
Q1044987	railway line in Osaka prefecture, Japan
Q1045	sovereign state in Africa
Q104506	Swedish tennis player
Q10451	District in Bavaria, Germany
Q104514	American actor
Q1045165	1953 film directed by George Stevens
Q10453	district of Bavaria, Germany
Q1045305	railway line in Japan
Q1045355	Italian writer and statesman (1799-1885)
Q10454	district in Bavaria, Germany
Q10455	district in Bavaria, Germany
Q10456	district in Bavaria, Germany
Q104565	Italian comune
Q1045665	German politician
Q104571	Italian comune
Q104577	Italian comune
Q10458	district of Bavaria, Germany
Q104585	Italian comune
Q104590	Italian comune
Q104595	Italian comune
Q104598	Italian comune
Q104599	political economist
Q1045997	Kazakhstani footballer (1973-2007)
Q1046009	Soviet aviator (1922-2014)
Q104602	Italian comune
Q10461	district of Bavaria, Germany
Q104616	Italian comune
Q104619	town and comune in the province of Brescia, in Lombardy, situated on the western shore of Lake Garda
Q10462	district in Bavaria, Germany
Q104623	Italian comune
Q1046234	art director
Q104628	Italian comune
Q1046295	2001 film produced by Walt Disney Pictures
Q104631	Italian comune
Q104635	Italian comune
Q1046367	association football club
Q104637	Italian comune
Q104643	Italian comune
Q1046438	Japanese prince
Q10465	district in Bavaria, Germany
Q104653	Italian comune
Q10466	district in Bavaria, Germany
Q1046625	organization
Q10467	Spanish football team and the reserve team of FC Barcelona
Q10469	district in Bavaria, Germany
Q104704	German historian and politician (1926-1989)
Q10471	district in Bavaria, Germany
Q104712	city with powiat rights of Poland
Q1047123	commune in Gers, France
Q1047147	American ice hockey player
Q1047175	American ice hockey player
Q10472	district in Bavaria, Germany
Q104720	City with powiat rights of Poland
Q1047206	reservoir
Q104725	City with powiat rights of Poland
Q1047259	American actor
Q1047261	American baseball player and coach
Q104731	city with powiat rights in Poland
Q10474	district in Bavaria, Germany
Q104740	city in central Poland
Q1047410	one of the Walt Disney Company's animation studios
Q104746	county (län) In Sweden
Q10475	district in Bavaria, Germany
Q1047535	Japanese association football club
Q104761	German association football club based in Leverkusen
Q10477	district of Bavaria, Germany
Q104770	German association football club
Q104791	American actor and director
Q10480	district in Bavaria, Germany
Q1048085	1989 American action thriller film directed by Ridley Scott
Q104814	1986 American science-fiction action film directed by James Cameron
Q1048166	1995 American fantasy film directed by Brad Silberling
Q10482	district of Bavaria, Germany
Q10483	district in Bavaria, Germany
Q104845	Italian comune
Q1048495	government-owned low-cost airline
Q1048497	former commune in Orne, France
Q10485	district in Bavaria, Germany
Q104859	former American astronaut and test pilot
Q1048645	2007 American horror film directed by Eli Roth
Q104865	Soviet cosmonaut
Q10487	district in Bavaria, Germany
Q1048755	former commune in Orne, France
Q1048767	cycling race
Q104877	county (län) in Sweden
Q1048779	cycling race
Q1048846	2002 film by Phil Alden Robinson
Q1048856	American television series (1971-1979)
Q104887	Italian comune
Q1048898	public research university in Burlington, Vermont, USA
Q10489	district of Bavaria, Germany
Q1048958	1999 film directed by Rob Minkoff
Q104898	British architect (born 1935)
Q1049	sovereign state in Northeast Africa
Q104905	2008 American computer-animated romantic science fiction film directed by Andrew Stanton
Q1049095	2005 film by Chris Columbus
Q10491	district of Bavaria, Germany
Q104911	Italian comune
Q1049129	railway line in Shizuoka prefecture, Japan
Q1049139	2001 thriller movie directed by Tony Scott
Q104920	Italian comune
Q104926	county (län) In Sweden
Q10493	district of Bavaria, Germany
Q104933	Italian comune
Q104940	county (län) in Sweden
Q1049480	2012 film directed by McG
Q1049545	1981 film by Desmond Davis
Q10496	district of Bavaria, Germany
Q1049617	cycling race
Q104963	comune of Italy
Q10497	district of Bavaria, Germany
Q104973	Italian comune
Q104978	Italian comune
Q1049803	railway line in Japan
Q10499	Spanish association football team
Q1049916	2002 film by Callie Khouri
Q104992	German politician (1912-1988)
Q104993	German architect
Q104994	county in California, United States of America
Q1050	Kingdom in Africa
Q10500	district of Bavaria, Germany
Q1050154	island in the Bahamas
Q1050159	business
Q105018	Italian comune
Q10502	district of Bavaria, Germany
Q10502548	English association football player (born 1991)
Q105031	1990 film directed by Chris Columbus.
Q105039	Italian comune
Q10504	district of Bavaria, Germany
Q105045	Italian comune
Q1050533	1970 satirical comedy-drama war film directed by Mike Nichols
Q105054	Italian comune
Q1050541	1990 action thriller film
Q105060	City in Silesian Voivodeship with powiat rights of Poland
Q1050603	American television series
Q105063	Italian comune
Q10507	district of Bavaria, Germany
Q105070	Italian comune
Q105075	county (län) in Sweden
Q1050815	1998 horror film directed by Steve Miner
Q10509	city in Comunidad Valenciana, Spain
Q105090	German anglicist, author and translator
Q105095	Italian comune
Q105101	Italian comune
Q1051013	football club in France
Q1051023	2012 American animated film directed by Tim Burton
Q105110	Italian comune
Q105118	American writer (1917-2007)
Q10512	Spanish association football team
Q1051203	association football club
Q1051238	association football club
Q105127	Italian comune
Q1051315	2001 film by Lawrence Guterman
Q105135	Italian comune
Q105142	Italian comune
Q1051469	2003 American science fiction disaster film directed by Jon Amiel
Q105148	Italian comune
Q1051496	1995 romantic comedy action adventure film directed by Renny Harlin
Q1051514	sports club in Casablanca, Morocco
Q105155	Italian comune
Q10516	district of Bavaria, Germany
Q105160	Italian comune
Q105168	Italian comune
Q105176	Italian comune
Q10517652	Colombian footballer
Q10518	district of Bavaria, Germany
Q1051840	private liberal arts college in the United States
Q1051995	railway line in Japan
Q10520	English association football player and model (born 1975)
Q105217	Italian comune
Q10522	district of Bavaria, Germany
Q105221	Canadian film actor and comedian
Q1052219	Brazilian football club
Q105224	Italian comune
Q1052260	2011 film by Garry Marshall
Q105228	road bicycle racer
Q10523	district of Bavaria, Germany
Q105231	Italian comune
Q105239	Italian comune
Q105247	Italian comune
Q10525074	Egyptian footballer
Q105254	Bundesliga football club in Germany
Q1052545	railway line owned by Kintetsu in Japan's Kinki region
Q105256	Italian comune
Q10526	district of Bavaria, Germany
Q105263	Italian comune
Q10526787	Japanese association football player
Q105270	Italian comune
Q10528	district of Bavaria, Germany
Q1052823	cruise line
Q1052826	1998 comedy-drama film directed by Woody Allen
Q1052827	Solstice-class cruise ship
Q1052839	Solstice-class cruise ship
Q105295	Italian comune
Q1052984	state highway in Pennsyvania, United States
Q105303	Italian comune
Q1053145	United States government investigative agency for civil transportation accidents
Q105317	Italian comune
Q1053192	telecommunications company that operated in several African countries
Q105320	French painter
Q105325	Italian comune
Q10533	district of Bavaria, Germany
Q105332	Italian comune
Q105337	Italian comune
Q1053386	Czech-British chess master
Q10535842	Italian fashion designer, founder of fashion label Missoni, Olympic hurdler
Q10536	association football player and manager (born 1963)
Q1053647	railway line in Japan
Q1053657	sports season
Q105367	Italian comune
Q1053672	sports season
Q10537	district of Bavaria, Germany
Q1053701	sports season
Q1053711	sports season
Q1053714	sports season
Q1053724	sports season
Q105376	Italian comune
Q1053766	sports season
Q1053771	sports season
Q1053786	association football club
Q105387	1996 American science fiction film directed by Roland Emmerich
Q10539	district of Bavaria, Germany
Q105390	Italian comune
Q105399	Italian comune
Q105407	Italian comune
Q10541	district of Bavaria, Germany
Q105416	Italian comune
Q105423	comune of Italy
Q105429	German mechanical engineering academic
Q1054298	political party in Portugal
Q10543063	Lebanese footballer
Q1054325	river in North America on the boundary of Michigan and Ontario
Q10544	district of Bavaria, Germany
Q1054520	railway line in Japan
Q105460	American singer, songwriter, activist, and humanitarian (1943-1997)
Q10547	administrative region of Franconia in Bavaria, Germany
Q1054717	railway line in Japan
Q1054807	Japanese animation studio
Q105487	French composer
Q1055	city and federal state in the North of Germany
Q1055023	Japanese National Highway from Chuo-ku, Tokyo to Aomori, Aomori Prefecture
Q10551	administrative region of Franconia in Bavaria, Germany
Q1055299	2006 horror comedy parody film directed by David Zucker
Q1055332	1983 film directed by Francis Ford Coppola
Q10554	administrative region of Franconia in Bavaria, Germany
Q10555	administrative regions of Bavaria, Germany
Q1055522	highway in Japan
Q1055550	road in Japan
Q1055580	railway station in Sapporo, Hokkaido, Japan
Q10556394	Brazilian footballer (1980-2013)
Q10557	administrative regions of Bavaria, Germany
Q1055776	fictional character from Star Trek: Enterprise
Q1055793	television series
